title,artist,number_of_singers,year,popularity,duration_ms,image_url
You Oughta Know - 2015 Remaster,Alanis Morissette,1,1995,72,249493,https://i.scdn.co/image/ab67616d0000b273242e643ea07118ecf677a6ef
Ring of Fire,Johnny Cash,1,1963,74,158426,https://i.scdn.co/image/ab67616d0000b273dfe4bfe695c4192e547e72c7
Tiny Dancer,Elton John,1,1971,81,377093,https://i.scdn.co/image/ab67616d0000b273d03ab2da904d8251a87bbc31
Islands In the Stream,"Dolly Parton, Kenny Rogers",2,1982,72,251960,https://i.scdn.co/image/ab67616d0000b273a4afa2612e996d0998fb2a00
"(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack","Bill Medley, Jennifer Warnes",2,2004,72,289066,https://i.scdn.co/image/ab67616d0000b273927530e44371f0bc1bb296d4
Rehab,Amy Winehouse,1,2006,76,214946,https://i.scdn.co/image/ab67616d0000b27376ffb5b5ab045d22c81235c1
Wrecking Ball,Miley Cyrus,1,2013,81,221360,https://i.scdn.co/image/ab67616d0000b2736b18d0490878750cd69abf2c
Smells Like Teen Spirit,Nirvana,1,1991,83,301920,https://i.scdn.co/image/ab67616d0000b273e175a19e530c898d167d39bf
Like a Virgin,Madonna,1,1984,75,218626,https://i.scdn.co/image/ab67616d0000b2736b18e58a06aac7763abe319a
Hey Jude - Remastered 2015,The Beatles,1,2000,78,425653,https://i.scdn.co/image/ab67616d0000b273582d56ce20fe0146ffa0e5cf
I Know Him So Well,"Elaine Paige, Barbara Dickson",2,1985,57,257106,https://i.scdn.co/image/ab67616d0000b273e54e5178cd33503d0970abba
River Deep - Mountain High,Ike & Tina Turner,1,1966,63,214880,https://i.scdn.co/image/ab67616d0000b27384b17e572f7e0ab861e9b608
Sweet Child O' Mine,Guns N' Roses,1,1987,78,356066,https://i.scdn.co/image/ab67616d0000b27321ebf49b3292c3f0f575f0f5
I Will Always Love You,Whitney Houston,1,1992,81,271093,https://i.scdn.co/image/ab67616d0000b273456c0b5d0316a80dc600802e
Torn,Natalie Imbruglia,1,1997,77,244666,https://i.scdn.co/image/ab67616d0000b27384bb2b1e87d5ba0bac8871a2
Song 2,Blur,1,2000,71,121880,https://i.scdn.co/image/ab67616d0000b2736eba1a0996d9e69ad20ec88b
Wonderwall - Remastered,Oasis,1,1995,81,258773,https://i.scdn.co/image/ab67616d0000b2737a4c8c59851c88f6794c3cbf
A Little Respect,Erasure,1,1988,66,213373,https://i.scdn.co/image/ab67616d0000b273d615508c02a9b0dfa55e7497
Nothing's Gonna Stop Us Now,Starship,1,1987,80,270333,https://i.scdn.co/image/ab67616d0000b273377198e5b790b5ebf137bd83
Don't You (Forget About Me),Simple Minds,1,1985,78,263040,https://i.scdn.co/image/ab67616d0000b2735695a657aef0e81bde0c6001
Delilah,Tom Jones,1,1968,65,204160,https://i.scdn.co/image/ab67616d0000b273cc5d0760583f354dfd061d5f
Here I Go Again,Whitesnake,1,1982,63,308800,https://i.scdn.co/image/ab67616d0000b273c943e2d6e7a55edb908a83dc
Total Eclipse of the Heart,Bonnie Tyler,1,2009,81,267360,https://i.scdn.co/image/ab67616d0000b2738cefe8e2f2cfd63ce073fa96
Time After Time,Cyndi Lauper,1,2014,75,243066,https://i.scdn.co/image/ab67616d0000b273681265e351fc75e60d0fa50b
Sex on Fire,Kings of Leon,1,2008,85,203346,https://i.scdn.co/image/ab67616d0000b2732519d01c0cca06f134eeadd8
(Everything I Do) I Do It For You,Bryan Adams,1,1991,69,394133,https://i.scdn.co/image/ab67616d0000b2733b6427c8257e341348dc5e2a
Angels,Robbie Williams,1,1999,54,265733,https://i.scdn.co/image/ab67616d0000b2732753482476dd5e1807f1c776
Un-Break My Heart,Toni Braxton,1,1996,72,270333,https://i.scdn.co/image/ab67616d0000b2735bc7429f54c5f6745c225fc6
Killing Me Softly With His Song,Roberta Flack,1,1973,76,286920,https://i.scdn.co/image/ab67616d0000b2737ff730d1580c27bc461d0ccf
Nothing Compares 2 U,Sinéad O'Connor,1,1990,76,280040,https://i.scdn.co/image/ab67616d0000b2736f6536c2e326fb2b42db90f8
I Want to Know What Love Is - 1999 Remaster,Foreigner,1,1984,82,304786,https://i.scdn.co/image/ab67616d0000b2733e030a7e606959674643d274
Dancing Queen,ABBA,1,1976,84,230400,https://i.scdn.co/image/ab67616d0000b27370f7a1b35d5165c85b95a0e0
Mamma Mia,ABBA,1,1975,79,213266,https://i.scdn.co/image/ab67616d0000b27392d0747a634fcc351c6ac3c2
Last Friday Night (T.G.I.F.),Katy Perry,1,2012,79,230746,https://i.scdn.co/image/ab67616d0000b273937af329667311f4b2831616
The Middle,Jimmy Eat World,1,2001,83,165853,https://i.scdn.co/image/ab67616d0000b27395d1d98c5176e4f982bd73d6
You're Still The One,Shania Twain,1,1997,79,212200,https://i.scdn.co/image/ab67616d0000b273aaf012d56b8c72658da6c45f
My Own Worst Enemy,Lit,1,1999,76,169026,https://i.scdn.co/image/ab67616d0000b2737b40b2abdbcb8520874f29ed
9 to 5,Dolly Parton,1,1980,80,162466,https://i.scdn.co/image/ab67616d0000b273060ccf36ab5b0e0a739799ec
Big Yellow Taxi,"Counting Crows, Vanessa Carlton",2,2002,66,225573,https://i.scdn.co/image/ab67616d0000b273f3b9f2d9b3317375a1d24135
Big Yellow Taxi,"Joni Mitchell, Glória - Dublin's Lesbian and Gay Choir",2,2014,18,180133,https://i.scdn.co/image/ab67616d0000b2732b9eac5229354cede99beb9f
Shake It Off,Taylor Swift,1,2014,76,219200,https://i.scdn.co/image/ab67616d0000b2739abdf14e6058bd3903686148
It's Gonna Be Me,*NSYNC,1,2000,72,192426,https://i.scdn.co/image/ab67616d0000b273a6cb8fab778e1efc406a5909
Girlfriend,Avril Lavigne,1,2007,80,216600,https://i.scdn.co/image/ab67616d0000b273476cdf5837ae39eee951cc15
Raise Your Glass,P!nk,1,2010,80,202960,https://i.scdn.co/image/ab67616d0000b2736f3451faa271fbe470685f34
Dynamite,BTS,1,2020,91,199053,https://i.scdn.co/image/ab67616d0000b273c07d5d2fdc02ae252fcd07e5
We R Who We R,Kesha,1,2010,76,204760,https://i.scdn.co/image/ab67616d0000b2733556ff5e46e50eb27be71ebe
All The Small Things,blink-182,1,1999,84,167066,https://i.scdn.co/image/ab67616d0000b2736da502e35a7a3e48de2b0f74
No Scrubs,TLC,1,1999,83,214400,https://i.scdn.co/image/ab67616d0000b27361ffafd5e31a37336531cf95
Everywhere,Michelle Branch,1,2001,71,214826,https://i.scdn.co/image/ab67616d0000b27311e62b6d4e56b060aa71e09d
Butter,BTS,1,2021,92,164441,https://i.scdn.co/image/ab67616d0000b273240447f2da1433d8f4303596
Everybody Talks,Neon Trees,1,2012,85,177280,https://i.scdn.co/image/ab67616d0000b2734a6c0376235e5aa44e59d2c2
I Want It That Way,Backstreet Boys,1,2001,76,213600,https://i.scdn.co/image/ab67616d0000b273c2f0d820b1113f9a243fb973
Complicated,Avril Lavigne,1,2002,83,244506,https://i.scdn.co/image/ab67616d0000b273f7ec724fbf97a30869d06240
Party In The U.S.A.,Miley Cyrus,1,2009,79,202066,https://i.scdn.co/image/ab67616d0000b273d6c3ad6a2a27471e1d5e8103
Mr. Brightside,The Killers,1,2004,87,222973,https://i.scdn.co/image/ab67616d0000b273ccdddd46119a4ff53eaf1f5d
Californication,Red Hot Chili Peppers,1,1999,85,329733,https://i.scdn.co/image/ab67616d0000b27394d08ab63e57b0cae74e8595
Semi-Charmed Life,Third Eye Blind,1,1997,78,268360,https://i.scdn.co/image/ab67616d0000b2734139c9208eeed67d2a211beb
Sweet Dreams (Are Made of This) - Remastered,"Eurythmics, Annie Lennox, Dave Stewart",3,1983,85,216933,https://i.scdn.co/image/ab67616d0000b273b3994c94dfb241923664bb4d
Drive,Incubus,1,1999,78,232453,https://i.scdn.co/image/ab67616d0000b27374fad40214d982351347e46e
